State,Market,Cost,,
AK,anchorage / mat-su,$15.00,,
AK,fairbanks,$7.00,,
AK,kenai peninsula,$7.00,,
AK,southeast alaska,$7.00,,
AL,auburn,$7.00,,
AL,birmingham,$25.00,,
AL,dothan,$7.00,,
AL,florence / muscle shoals,$7.00,,
AL,gadsden-anniston,$7.00,,
AL,huntsville / decatur,$15.00,,
AL,mobile,$15.00,,
AL,montgomery,$7.00,,
AL,tuscaloosa,$7.00,,
AR,fayetteville,$15.00,,
AR,fort smith,$10.00,,
AR,jonesboro,$7.00,,
AR,little rock,$15.00,,
AR,texarkana,$7.00,,
AZ,flagstaff / sedona,$10.00,,
AZ,mohave county,$7.00,,
AZ,phoenix,$35.00,,
AZ,prescott,$10.00,,
AZ,show low,$7.00,,
AZ,sierra vista,$7.00,,
AZ,tucson,$25.00,,
AZ,yuma,$7.00,,
CA,bakersfield,$15.00,,
CA,chico,$10.00,,
CA,fresno / madera,$25.00,,
CA,gold country,$10.00,,
CA,hanford-corcoran,$7.00,,
CA,humboldt county,$10.00,,
CA,imperial county,$7.00,,
CA,inland empire,$35.00,,
CA,los angeles,$45.00,,
CA,mendocino county,$7.00,,
CA,merced,$10.00,,
CA,modesto,$15.00,,
CA,monterey bay,$15.00,,
CA,orange county,$35.00,,
CA,palm springs,$15.00,,
CA,redding,$10.00,,
CA,sacramento,$35.00,,
CA,san diego,$35.00,,
CA,san francisco bay area,$75.00,,
CA,san luis obispo,$15.00,,
CA,santa barbara,$15.00,,
CA,santa maria,$10.00,,
CA,siskiyou county,$7.00,,
CA,stockton,$15.00,,
CA,susanville,$7.00,,
CA,ventura county,$25.00,,
CA,visalia-tulare,$10.00,,
CA,yuba-sutter,$10.00,,
CO,boulder,$15.00,,
CO,colorado springs,$25.00,,
CO,denver,$35.00,,
CO,eastern CO,$7.00,,
CO,fort collins / north CO,$15.00,,
CO,high rockies,$10.00,,
CO,pueblo,$10.00,,
CO,western slope,$10.00,,
CT,eastern CT,$15.00,,
CT,hartford,$25.00,,
CT,new haven,$25.00,,
CT,northwest CT,$10.00,,
DC,"washington, dc",$35.00,,
DE,delaware,$15.00,,
FL,daytona beach,$15.00,,
FL,ft myers / SW florida,$25.00,,
FL,gainesville,$15.00,,
FL,heartland florida,$7.00,,
FL,jacksonville,$25.00,,
FL,lake city,$7.00,,
FL,lakeland,$15.00,,
FL,ocala,$15.00,,
FL,okaloosa / walton,$10.00,,
FL,orlando,$35.00,,
FL,panama city,$10.00,,
FL,pensacola,$15.00,,
FL,sarasota-bradenton,$25.00,,
FL,south florida,$35.00,,
FL,space coast,$15.00,,
FL,st augustine,$10.00,,
FL,tallahassee,$15.00,,
FL,tampa bay area,$35.00,,
FL,treasure coast,$15.00,,
GA,albany,$7.00,,
GA,athens,$10.00,,
GA,atlanta,$35.00,,
GA,augusta,$10.00,,
GA,brunswick,$7.00,,
GA,columbus,$10.00,,
GA,macon / warner robins,$10.00,,
GA,northwest GA,$10.00,,
GA,savannah / hinesville,$15.00,,
GA,statesboro,$7.00,,
GA,valdosta,$7.00,,
HI,hawaii,$25.00,,
IA,ames,$7.00,,
IA,cedar rapids,$10.00,,
IA,des moines,$15.00,,
IA,dubuque,$7.00,,
IA,fort dodge,$7.00,,
IA,iowa city,$10.00,,
IA,mason city,$7.00,,
IA,quad cities,$10.00,,
IA,sioux city,$7.00,,
IA,southeast IA,$7.00,,
IA,waterloo / cedar falls,$7.00,,
ID,boise,$25.00,,
ID,east idaho,$10.00,,
ID,lewiston / clarkston,$7.00,,
ID,twin falls,$7.00,,
IL,bloomington-normal,$7.00,,
IL,chambana,$10.00,,
IL,chicago,$45.00,,
IL,decatur,$7.00,,
IL,la salle co,$7.00,,
IL,mattoon-charleston,$7.00,,
IL,peoria,$10.00,,
IL,rockford,$15.00,,
IL,southern illinois,$7.00,,
IL,springfield,$7.00,,
IL,western IL,$7.00,,
IN,bloomington,$10.00,,
IN,evansville,$10.00,,
IN,fort wayne,$15.00,,
IN,indianapolis,$25.00,,
IN,kokomo,$7.00,,
IN,muncie / anderson,$10.00,,
IN,"richmond, IN",$7.00,,
IN,south bend / michiana,$15.00,,
IN,terre haute,$7.00,,
IN,tippecanoe,$10.00,,
KS,lawrence,$7.00,,
KS,"manhattan, KS",$7.00,,
KS,northwest KS,$7.00,,
KS,salina,$7.00,,
KS,southeast KS,$7.00,,
KS,southwest KS,$7.00,,
KS,topeka,$10.00,,
KS,wichita,$15.00,,
KY,bowling green,$10.00,,
KY,eastern kentucky,$7.00,,
KY,lexington,$15.00,,
KY,louisville,$25.00,,
KY,owensboro,$7.00,,
KY,western KY,$7.00,,
LA,baton rouge,$15.00,,
LA,central louisiana,$7.00,,
LA,houma,$7.00,,
LA,lafayette,$10.00,,
LA,lake charles,$7.00,,
LA,monroe,$7.00,,
LA,new orleans,$25.00,,
LA,shreveport,$10.00,,
MA,boston,$45.00,,
MA,cape cod / islands,$15.00,,
MA,south coast,$15.00,,
MA,western massachusetts,$15.00,,
MA,worcester / central MA,$25.00,,
MD,annapolis,$15.00,,
MD,baltimore,$25.00,,
MD,eastern shore,$10.00,,
MD,frederick,$10.00,,
MD,southern maryland,$10.00,,
MD,western maryland,$7.00,,
ME,maine,$25.00,,
MI,ann arbor,$15.00,,
MI,battle creek,$7.00,,
MI,central michigan,$7.00,,
MI,detroit metro,$35.00,,
MI,flint,$10.00,,
MI,grand rapids,$25.00,,
MI,holland,$10.00,,
MI,jackson,$10.00,,
MI,kalamazoo,$10.00,,
MI,lansing,$15.00,,
MI,monroe,$7.00,,
MI,muskegon,$10.00,,
MI,northern michigan,$10.00,,
MI,port huron,$7.00,,
MI,saginaw-midland-baycity,$10.00,,
MI,southwest michigan,$7.00,,
MI,the thumb,$7.00,,
MI,upper peninsula,$7.00,,
MN,bemidji,$7.00,,
MN,brainerd,$7.00,,
MN,duluth / superior,$10.00,,
MN,mankato,$7.00,,
MN,minneapolis / st paul,$35.00,,
MN,rochester,$7.00,,
MN,southwest MN,$7.00,,
MN,st cloud,$10.00,,
MO,columbia / jeff city,$10.00,,
MO,joplin,$10.00,,
MO,kansas city,$25.00,,
MO,kirksville,$7.00,,
MO,lake of the ozarks,$7.00,,
MO,southeast missouri,$7.00,,
MO,springfield,$15.00,,
MO,st joseph,$7.00,,
MO,st louis,$25.00,,
MS,gulfport / biloxi,$10.00,,
MS,hattiesburg,$7.00,,
MS,jackson,$10.00,,
MS,meridian,$7.00,,
MS,north mississippi,$7.00,,
MS,southwest MS,$7.00,,
MT,billings,$10.00,,
MT,bozeman,$10.00,,
MT,butte,$7.00,,
MT,eastern montana,$7.00,,
MT,great falls,$7.00,,
MT,helena,$7.00,,
MT,kalispell,$7.00,,
MT,missoula,$10.00,,
NC,asheville,$15.00,,
NC,boone,$7.00,,
NC,charlotte,$25.00,,
NC,eastern NC,$10.00,,
NC,fayetteville,$15.00,,
NC,greensboro,$15.00,,
NC,hickory / lenoir,$10.00,,
NC,jacksonville,$7.00,,
NC,outer banks,$7.00,,
NC,raleigh / durham / CH,$25.00,,
NC,wilmington,$15.00,,
NC,winston-salem,$15.00,,
ND,bismarck,$7.00,,
ND,fargo / moorhead,$10.00,,
ND,grand forks,$7.00,,
ND,north dakota,$7.00,,
NE,grand island,$7.00,,
NE,lincoln,$15.00,,
NE,north platte,$7.00,,
NE,omaha / council bluffs,$25.00,,
NE,scottsbluff / panhandle,$7.00,,
NH,new hampshire,$25.00,,
NJ,central NJ,$25.00,,
NJ,jersey shore,$25.00,,
NJ,north jersey,$35.00,,
NJ,south jersey,$25.00,,
NM,albuquerque,$15.00,,
NM,clovis / portales,$7.00,,
NM,farmington,$7.00,,
NM,las cruces,$7.00,,
NM,roswell / carlsbad,$7.00,,
NM,santa fe / taos,$10.00,,
NV,elko,$7.00,,
NV,las vegas,$35.00,,
NV,reno / tahoe,$15.00,,
NY,albany,$25.00,,
NY,binghamton,$10.00,,
NY,buffalo,$25.00,,
NY,catskills,$7.00,,
NY,chautauqua,$7.00,,
NY,elmira-corning,$7.00,,
NY,finger lakes,$7.00,,
NY,glens falls,$7.00,,
NY,hudson valley,$25.00,,
NY,ithaca,$7.00,,
NY,long island,$25.00,,
NY,new york city,$45.00,,
NY,oneonta,$7.00,,
NY,plattsburgh-adirondacks,$7.00,,
NY,potsdam-canton-massena,$7.00,,
NY,rochester,$25.00,,
NY,syracuse,$15.00,,
NY,twin tiers NY/PA,$7.00,,
NY,utica-rome-oneida,$10.00,,
NY,watertown,$7.00,,
OH,akron / canton,$25.00,,
OH,ashtabula,$7.00,,
OH,athens,$7.00,,
OH,chillicothe,$7.00,,
OH,cincinnati,$25.00,,
OH,cleveland,$25.00,,
OH,columbus,$25.00,,
OH,dayton / springfield,$15.00,,
OH,lima / findlay,$10.00,,
OH,mansfield,$10.00,,
OH,sandusky,$7.00,,
OH,toledo,$15.00,,
OH,tuscarawas co,$7.00,,
OH,youngstown,$10.00,,
OH,zanesville / cambridge,$7.00,,
OK,lawton,$7.00,,
OK,northwest OK,$7.00,,
OK,oklahoma city,$25.00,,
OK,stillwater,$7.00,,
OK,tulsa,$25.00,,
OR,bend,$10.00,,
OR,corvallis/albany,$10.00,,
OR,east oregon,$7.00,,
OR,eugene,$15.00,,
OR,klamath falls,$7.00,,
OR,medford-ashland,$10.00,,
OR,oregon coast,$7.00,,
OR,portland,$35.00,,
OR,roseburg,$7.00,,
OR,salem,$15.00,,
PA,allentown,$15.00,,
PA,altoona-johnstown,$7.00,,
PA,cumberland valley,$7.00,,
PA,erie,$10.00,,
PA,harrisburg,$15.00,,
PA,lancaster,$15.00,,
PA,meadville,$7.00,,
PA,philadelphia,$35.00,,
PA,pittsburgh,$25.00,,
PA,poconos,$10.00,,
